Document_No,Day_No,Menu_1,Menu_2,Date/time
306,1,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 06:32:33.079905+00:00
306,2,"चहा,शिरा,पोळी,भात,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पत्ता कोबी",2018-05-27 06:33:14.837320+00:00
306,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 06:33:53.245438+00:00
307,1,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:35:25.717972+00:00
307,2,"चहा,शिरा,कढी,पोळी,भात,मेथीची भाजी,पालक वरण",चहा,2018-05-27 06:36:03.653779+00:00
307,3,"चहा,पोहे,पोळी,भात,पालक वरण,आलूची भाजी","चहा,पोहे,पोळी",2018-05-27 06:36:47.154003+00:00
308,1,"चहा,ब्रेड,उपमा,पोळी,पत्ता कोबी","चहा,उपमा,पोळी,पत्ता कोबी",2018-05-27 06:37:55.723477+00:00
308,2,"चहा,ब्रेड,पोहे,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,पोहे,पोळी",2018-05-27 06:39:07.332087+00:00
308,3,"चहा,पोहे,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 06:39:41.864221+00:00
309,1,"चहा,शिरा,पोळी,पत्ता कोबी,मेथीची भाजी","चहा,पोळी",2018-05-27 06:40:55.054837+00:00
309,2,"चहा,ब्रेड,उपमा,कढी,पोळी,पत्ता कोबी,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:41:30.433135+00:00
309,3,"चहा,दूध,पोहे,मटकीची उसळ,पोळी,भात,पालक वरण","चहा,पोळी",2018-05-27 06:42:05.869287+00:00
310,1,"चहा,ब्रेड,उपमा,पोळी,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी,पालक वरण",2018-05-27 06:43:39.071981+00:00
310,2,"चहा,ब्रेड,शिरा,पोळी,पालक वरण,अंड्याची भाजी","चहा,पोळी",2018-05-27 06:44:14.918575+00:00
310,3,"चहा,उपमा,पोळी,पत्ता कोबी,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:44:51.751475+00:00
311,1,"चहा,दूध,उपमा,पोळी,पालक वरण","पोळी,पालक वरण",2018-05-27 09:21:25.323123+00:00
311,2,"चहा,उपमा,पोळी,पत्ता कोबी,मेथीची भाजी","चहा,उपमा,पोळी",2018-05-27 09:21:59.987728+00:00
311,3,"चहा,उपमा,पोळी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 09:22:29.390725+00:00
312,1,"चहा,पोहे,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 09:23:48.665805+00:00
312,2,"चहा,शिरा,पोळी,पत्ता कोबी,मेथीची भाजी","चहा,पोळी",2018-05-27 09:24:22.231427+00:00
312,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 09:25:04.503127+00:00
313,1,"चहा,शिरा,पोळी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 09:26:30.221693+00:00
313,2,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 09:27:06.486869+00:00
